chr1	274583	275741	NA
chr1	277866	279033	NA
chr1	904114	905037	NA
chr1	921856	922761	ISG15
chr1	1030777	1034619	NA
chr1	1099890	1117284	TTLL10
chr1	1123091	1132430	NA
chr1	1157906	1160677	B3GALT6
chr1	1198008	1202485	NA
chr1	1203262	1216123	ACAP3
chr1	1235675	1236528	CPTP
chr1	1240149	1244110	TAS1R3
chr1	1244081	1251805	DVL1
chr1	1281975	1283684	AURKAIP1
chr1	1295660	1308257	CCNL2
chr1	1310881	1317973	NA
chr1	1343746	1346010	NA
chr1	1347655	1348030	NA
chr1	1361607	1382667	ATAD3C
chr1	1388291	1412908	ATAD3B
chr1	1435391	1438183	NA
chr1	1456941	1491733	SSU72
chr1	1491828	1492131	NA
chr1	1513448	1611784	FNDC10
chr1	1550241	1551706	NA
chr1	1580672	1611022	SLC35E2B
chr1	1616871	1638578	NADK
chr1	1783633	1786114	CALML6
chr1	1786538	1788395	TMEM52
chr1	1892599	1898423	GABRD
chr1	2055136	2076582	NA
chr1	2084608	2085262	NA
chr1	2100699	2181087	SKI
chr1	2197730	2270832	MORN1
chr1	2270899	2285110	RER1
chr1	2284475	2292227	PEX10
chr1	2357892	2387005	PLCH2
chr1	2390268	2408541	PANK4
chr1	2410694	2412190	HES5
chr1	2439620	2447459	TNFRSF14
chr1	2472155	2476871	FAM213B
chr1	2476329	2516470	MMEL1
chr1	2520531	2553529	TTC34
chr1	2799785	2801185	ACTRT2
chr1	2849812	3226387	PRDM16
chr1	3258836	3279499	ARHGEF16
chr1	3429519	3433424	TPRG1L
chr1	3435542	3454617	WRAP73
chr1	3486160	3536969	TP73
chr1	3558115	3579312	CCDC27
chr1	3588805	3606135	LRRC47
chr1	3625056	3671260	CEP104
chr1	3671661	3699085	DFFB
chr1	3704509	3717492	C1H1orf174
chr1	4540074	4674734	AJAP1
chr1	5397788	5399522	NA
chr1	6092755	6155405	CHD5
chr1	6172641	6188002	RPL22
chr1	6194519	6208829	RNF207
chr1	6208730	6223597	ICMT
chr1	6233066	6234683	HES3
chr1	6236525	6250177	GPR153
chr1	6254145	6375457	ACOT7
chr1	6404356	6411077	HES2
chr1	6454498	6457642	TNFRSF25
chr1	6460089	6514191	PLEKHG5
chr1	6519864	6550127	NOL9
chr1	6550868	6573153	TAS1R1
chr1	6573399	6582706	ZBTB48
chr1	6586645	6596531	KLHL21
chr1	6609271	6619588	PHF13
chr1	6620764	6629192	THAP3
chr1	6629784	6697720	DNAJC11
chr1	6783077	7769440	CAMTA1
chr1	7774856	7784966	VAMP3
chr1	7788562	7847740	PER3
chr1	7848930	7858246	UTS2
chr1	7927342	7948789	TNFRSF9
chr1	7968236	7991742	PARK7
chr1	8017942	8032552	ERRFI1
chr1	8329800	8360446	SLC45A1
chr1	8369114	8841466	RERE
chr1	8884914	8898818	ENO1
chr1	8966775	8997045	CA6
chr1	9029618	9053165	SLC2A7
chr1	9063734	9095705	SLC2A5
chr1	9128644	9136466	NA
chr1	9327286	9358047	H6PD
chr1	9384367	9462944	SPSB1
chr1	9633192	9678726	SLC25A33
chr1	9760363	9838974	PIK3CD
chr1	9761248	9763237	NA
chr1	9840416	9936887	CLSTN1
chr1	9964957	9987261	CTNNBIP1
chr1	10049165	10062417	LZIC
chr1	10095849	10103338	NMNAT1
chr1	10118985	10138285	RBP7
chr1	10155347	10307397	UBE4B
chr1	10329195	10428159	KIF1B
chr1	10519738	10540344	PGD
chr1	10550731	10563462	APITD1
chr1	10571021	10572815	CORT
chr1	10582674	10595144	DFFA
chr1	10597578	10757461	PEX14
chr1	10765648	10823185	CASZ1
chr1	11081160	11116924	C1H1orf127
chr1	11144923	11157855	TARDBP
chr1	11158884	11178561	MASP2
chr1	11186715	11192197	SRM
chr1	11198863	11235088	EXOSC10
chr1	11242101	11395486	MTOR
chr1	11326221	11332870	ANGPTL7
chr1	11410007	11432128	UBIAD1
chr1	11646163	11680234	DISP3
chr1	11792486	11798712	FBXO2
chr1	11798939	11806690	FBXO44
chr1	11808485	11820159	FBXO6
chr1	11820289	11826344	MAD2L2
chr1	11838821	11867746	DRAXIN
chr1	11883266	11897924	AGTRAP
chr1	11914402	11938561	C1orf167
chr1	11935599	11954863	MTHFR
chr1	11955087	11987957	CLCN6
chr1	11994682	11996763	NPPA
chr1	12006901	12008371	NPPB
chr1	12056674	12064223	KIAA2013
chr1	12073310	12116359	PLOD1
chr1	12120160	12153177	MFN2
chr1	12159579	12172690	MIIP
chr1	12204493	12280442	TNFRSF8
chr1	12326709	12347285	TNFRSF1B
chr1	12368115	12654996	VPS13D
chr1	12714648	12763780	DHRS3
chr1	12791458	12813652	AADACL4
chr1	12862176	12874800	AADACL3
chr1	12892221	12909086	C1H1orf158
chr1	12922527	12925595	PRAMEF12
chr1	12943339	12946093	NA
chr1	13043576	13044946	NA
chr1	13053260	13058128	PRAMEF2
chr1	13115486	13118136	NA
chr1	13347312	13351428	NA
chr1	13437916	13441493	PRAMEF19
chr1	13459826	13462807	PRAMEF17
chr1	13486855	13493490	PRAMEF20
chr1	13545907	13586391	LRRC38
