ENSG00000000003	TSPAN6	HEK 293	54.5	TPM
ENSG00000000005	TNMD	HEK 293	0.0	TPM
ENSG00000000419	DPM1	HEK 293	49.0	TPM
ENSG00000000457	SCYL3	HEK 293	4.0	TPM
ENSG00000000460	C1orf112	HEK 293	15.0	TPM
ENSG00000000938	FGR	HEK 293	0.0	TPM
ENSG00000000971	CFH	HEK 293	0.0	TPM
ENSG00000001036	FUCA2	HEK 293	85.7	TPM
ENSG00000001084	GCLC	HEK 293	29.5	TPM
ENSG00000001167	NFYA	HEK 293	34.8	TPM
ENSG00000001460	STPG1	HEK 293	6.6	TPM
ENSG00000001461	NIPAL3	HEK 293	38.9	TPM
ENSG00000001497	LAS1L	HEK 293	76.4	TPM
ENSG00000001561	ENPP4	HEK 293	10.2	TPM
ENSG00000001617	SEMA3F	HEK 293	1.7	TPM
ENSG00000001626	CFTR	HEK 293	0.0	TPM
ENSG00000001629	ANKIB1	HEK 293	13.2	TPM
ENSG00000001630	CYP51A1	HEK 293	76.4	TPM
ENSG00000001631	KRIT1	HEK 293	32.8	TPM
ENSG00000002016	RAD52	HEK 293	7.4	TPM
ENSG00000002330	BAD	HEK 293	56.5	TPM
ENSG00000002549	LAP3	HEK 293	41.3	TPM
ENSG00000002586	CD99	HEK 293	276.1	TPM
ENSG00000002587	HS3ST1	HEK 293	0.0	TPM
ENSG00000002726	AOC1	HEK 293	0.0	TPM
ENSG00000002745	WNT16	HEK 293	4.9	TPM
ENSG00000002746	HECW1	HEK 293	0.7	TPM
ENSG00000002822	MAD1L1	HEK 293	18.8	TPM
ENSG00000002834	LASP1	HEK 293	27.7	TPM
ENSG00000002919	SNX11	HEK 293	23.6	TPM
ENSG00000002933	TMEM176A	HEK 293	0.1	TPM
ENSG00000003056	M6PR	HEK 293	72.6	TPM
ENSG00000003096	KLHL13	HEK 293	11.8	TPM
ENSG00000003137	CYP26B1	HEK 293	2.5	TPM
ENSG00000003147	ICA1	HEK 293	5.7	TPM
ENSG00000003249	DBNDD1	HEK 293	61.6	TPM
ENSG00000003393	ALS2	HEK 293	11.2	TPM
ENSG00000003400	CASP10	HEK 293	4.3	TPM
ENSG00000003402	CFLAR	HEK 293	27.3	TPM
ENSG00000003436	TFPI	HEK 293	6.8	TPM
ENSG00000003509	NDUFAF7	HEK 293	10.8	TPM
ENSG00000003756	RBM5	HEK 293	30.4	TPM
ENSG00000003987	MTMR7	HEK 293	2.1	TPM
ENSG00000003989	SLC7A2	HEK 293	11.3	TPM
ENSG00000004059	ARF5	HEK 293	197.2	TPM
ENSG00000004139	SARM1	HEK 293	1.7	TPM
ENSG00000004142	POLDIP2	HEK 293	155.2	TPM
ENSG00000004399	PLXND1	HEK 293	2.8	TPM
ENSG00000004455	AK2	HEK 293	201.8	TPM
ENSG00000004468	CD38	HEK 293	0.0	TPM
ENSG00000004478	FKBP4	HEK 293	206.0	TPM
ENSG00000004487	KDM1A	HEK 293	95.5	TPM
ENSG00000004534	RBM6	HEK 293	20.6	TPM
ENSG00000004660	CAMKK1	HEK 293	9.8	TPM
ENSG00000004700	RECQL	HEK 293	31.6	TPM
ENSG00000004766	VPS50	HEK 293	11.9	TPM
ENSG00000004776	HSPB6	HEK 293	0.5	TPM
ENSG00000004777	ARHGAP33	HEK 293	3.3	TPM
ENSG00000004779	NDUFAB1	HEK 293	256.1	TPM
ENSG00000004799	PDK4	HEK 293	1.2	TPM
ENSG00000004809	SLC22A16	HEK 293	0.0	TPM
ENSG00000004838	ZMYND10	HEK 293	0.6	TPM
